;Region;Sub-region;Country;ISO3 code;M49 code;RE or Non-RE;Group Technology;Technology;Sub-Technology;Producer Type;Year;Electricity Generation (GWh);Electricity Installed Capacity (MW)
29436;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2008;19;19
29437;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2009;27;25
29438;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2010;31;30
29439;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2011;41;42
29440;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2012;69;73
29441;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2013;106;109
29442;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2014;221;174
29443;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2015;239;295
29444;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2016;464;606
29445;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2017;1084;1072
29446;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2018;1363;2.753
29447;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2019;7057;6.228
29448;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2020;9115;7138,08
29449;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2021;13010;8.901
29450;Americas;Latin America and the Caribbean;Mexico;MEX;484;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2022;20542;9.330
31080;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2012;47,72;80
31081;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2013;197;80
31082;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2014;199;96
31083;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2015;230;96
31084;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2016;241;100
31085;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2017;287;244
31086;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2018;745;284
31087;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2019;763,01;289
31088;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2020;778;289
31089;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2021;802;287
31090;Americas;Latin America and the Caribbean;Peru;PER;604;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2022;821;287
34007;Americas;Latin America and the Caribbean;Uruguay;URY;858;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2011;0;0
34008;Americas;Latin America and the Caribbean;Uruguay;URY;858;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2012;0;0,108
34009;Americas;Latin America and the Caribbean;Uruguay;URY;858;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2013;1;1
34010;Americas;Latin America and the Caribbean;Uruguay;URY;858;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2014;5;3
34011;Americas;Latin America and the Caribbean;Uruguay;URY;858;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2015;51;64
